Date;Time;Severity;TID;This;Function;Message
2024/10/27;20:42:47.921;DEBUG;2996;0000000000000000;BaslerControl::openCamera@8;"正在连接Basler相机... ..."
2024/10/27;20:42:48.736;ERROR;2996;0000000000000000;BaslerControl::openCamera@14;"未找到Basler相机，请检查相机连接情况"
2024/10/27;20:44:01.956;DEBUG;23048;0000000000000000;BaslerControl::openCamera@8;"正在连接Basler相机... ..."
2024/10/27;20:44:02.330;ERROR;23048;0000000000000000;BaslerControl::openCamera@14;"未找到Basler相机，请检查相机连接情况"
2024/10/27;20:53:44.215;DEBUG;32196;0000000000000000;BaslerControl::openCamera@8;"正在连接Basler相机... ..."
2024/10/27;20:53:44.699;DEBUG;32196;0000000000000000;BaslerControl::openCamera@22;"尝试打开Basler相机..."
2024/10/27;20:53:44.780;DEBUG;32196;0000000000000000;BaslerControl::openCamera@24;"已经打开Basler相机"
2024/10/27;20:53:44.809;DEBUG;32196;0000000000000000;BaslerControl::openCamera@47;"Basler相机连接成功"
2024/10/27;20:58:07.148;DEBUG;31836;0000000000000000;BaslerControl::openCamera@8;"正在连接Basler相机... ..."
2024/10/27;20:58:07.617;DEBUG;31836;0000000000000000;BaslerControl::openCamera@22;"尝试打开Basler相机..."
2024/10/27;20:58:07.693;DEBUG;31836;0000000000000000;BaslerControl::openCamera@24;"已经打开Basler相机"
2024/10/27;20:58:07.717;DEBUG;31836;0000000000000000;BaslerControl::openCamera@47;"Basler相机连接成功"
2024/10/27;20:59:16.336;ERROR;31836;0000000000000000;BaslerControl::openCamera@71;"图片保存成功"
2024/10/27;21:01:37.483;DEBUG;31224;0000000000000000;BaslerControl::openCamera@8;"正在连接Basler相机... ..."
2024/10/27;21:01:37.998;DEBUG;31224;0000000000000000;BaslerControl::openCamera@22;"尝试打开Basler相机..."
2024/10/27;21:01:38.074;DEBUG;31224;0000000000000000;BaslerControl::openCamera@24;"已经打开Basler相机"
2024/10/27;21:01:38.092;DEBUG;31224;0000000000000000;BaslerControl::openCamera@47;"Basler相机连接成功"
2024/10/27;21:01:38.185;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.997 ms"
2024/10/27;21:01:38.207;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.837 ms"
2024/10/27;21:01:38.229;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.648 ms"
2024/10/27;21:01:38.251;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.772 ms"
2024/10/27;21:01:38.273;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.297 ms"
2024/10/27;21:01:38.298;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.699 ms"
2024/10/27;21:01:38.319;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.193 ms"
2024/10/27;21:01:38.342;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.265 ms"
2024/10/27;21:01:38.367;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.014 ms"
2024/10/27;21:01:38.390;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.48 ms"
2024/10/27;21:01:38.414;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.003 ms"
2024/10/27;21:01:38.435;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.021 ms"
2024/10/27;21:01:38.457;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.286 ms"
2024/10/27;21:01:38.480;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.497 ms"
2024/10/27;21:01:38.501;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.734 ms"
2024/10/27;21:01:38.522;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.558 ms"
2024/10/27;21:01:38.545;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.741 ms"
2024/10/27;21:01:38.565;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.865 ms"
2024/10/27;21:01:38.586;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.003 ms"
2024/10/27;21:01:38.609;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.761 ms"
2024/10/27;21:01:38.633;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.509 ms"
2024/10/27;21:01:38.657;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 5.114 ms"
2024/10/27;21:01:38.681;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.509 ms"
2024/10/27;21:01:38.706;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 5.219 ms"
2024/10/27;21:01:38.731;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.996 ms"
2024/10/27;21:01:38.752;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.819 ms"
2024/10/27;21:01:38.779;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.481 ms"
2024/10/27;21:01:38.802;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.503 ms"
2024/10/27;21:01:38.823;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.658 ms"
2024/10/27;21:01:38.849;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.308 ms"
2024/10/27;21:01:38.877;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 5.447 ms"
2024/10/27;21:01:38.900;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.858 ms"
2024/10/27;21:01:38.923;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.202 ms"
2024/10/27;21:01:38.947;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.301 ms"
2024/10/27;21:01:38.971;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.959 ms"
2024/10/27;21:01:38.994;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.946 ms"
2024/10/27;21:01:39.017;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.543 ms"
2024/10/27;21:01:39.040;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.236 ms"
2024/10/27;21:01:39.061;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.729 ms"
2024/10/27;21:01:39.088;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.635 ms"
2024/10/27;21:01:39.112;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.188 ms"
2024/10/27;21:01:39.136;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.633 ms"
2024/10/27;21:01:39.161;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.444 ms"
2024/10/27;21:01:39.185;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.566 ms"
2024/10/27;21:01:39.208;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.353 ms"
2024/10/27;21:01:39.235;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.108 ms"
2024/10/27;21:01:39.259;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.281 ms"
2024/10/27;21:01:39.282;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.737 ms"
2024/10/27;21:01:39.304;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.876 ms"
2024/10/27;21:01:39.327;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.539 ms"
2024/10/27;21:01:39.354;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.964 ms"
2024/10/27;21:01:39.377;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.097 ms"
2024/10/27;21:01:39.401;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.056 ms"
2024/10/27;21:01:39.425;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.416 ms"
2024/10/27;21:01:39.447;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.781 ms"
2024/10/27;21:01:39.470;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.007 ms"
2024/10/27;21:01:39.494;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.359 ms"
2024/10/27;21:01:39.518;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.887 ms"
2024/10/27;21:01:39.543;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 5.452 ms"
2024/10/27;21:01:39.566;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.884 ms"
2024/10/27;21:01:39.591;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 5.199 ms"
2024/10/27;21:01:39.614;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.074 ms"
2024/10/27;21:01:39.638;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.272 ms"
2024/10/27;21:01:39.661;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.057 ms"
2024/10/27;21:01:39.685;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.307 ms"
2024/10/27;21:01:39.708;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 4.204 ms"
2024/10/27;21:01:39.731;DEBUG;32300;0000000000000000;Yolo11SegInference::inferSegAndCalcTime@47;"cost 3.813 ms"
